uf60,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,name_bairro_1960,tipo,zona_cod,zona,pagina,fonte
21,2135,Recife,11,Encruzilhada,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,13,Graças,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,15,Madalena access,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,17,Poço,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,19,Recife,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,21,Santo Amaro,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,23,Santo Antônio,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,25,São Joss,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,27,Tejipô,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,29,Vátiga,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2136,Ribeirão,01,Ribeirão,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2136,Ribeirão,03,Apídiiba,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2136,Ribeirão,07,Jose Mapiano,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2137,Rio Formoso,01,Rio Formoso,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2137,Rio Formoso,05,ST roo A PAO,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2137,Rio Formoso,07,Tamanhafo,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2138,São Lourenço da Mata,01,São Lourenço da Mata,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2138,São Lourenço da Mata,03,Camarajibe,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2138,São Lourenço da Mata,05,Nossa Senhora da Lus,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
